,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt,controversial-score,POPULARITY
1829,1858,yBZSVHQYrSk,eldiplo,1114.0,News & Politics,341.0,3921,4.08,24,89,20,22.698291252231574,0.19043974865350088
808,826,pprQ4r_KSyo,boydism08,855.0,Film & Animation,353.0,4490,4.74,34,24,0,5.3452115812917596,0.1904114619883041
2457,2487,bVR288WbDXc,BullitGTI,1048.0,Autos & Vehicles,599.0,10850,4.63,30,41,20,3.7788018433179724,0.1902530534351145
3264,3294,mES_ygGtBg4,UNARismor,886.0,People & Blogs,196.0,8868,4.82,33,21,20,2.368064952638701,0.19006902934537245
2187,2216,gbe1aswKhhY,Element9HipHop,1127.0,Comedy,132.0,17599,2.6,40,70,14,3.977498721518268,0.18961579414374444
2264,2293,sfJFBcF_6cE,rajuv,825.0,Howto & Style,313.0,49066,4.67,24,18,20,0.3668528105001427,0.1895539393939394
2386,2415,VwRMOOpyq7A,HortonGB,1116.0,Film & Animation,38.0,11770,4.88,34,13,20,1.1045029736618521,0.18946659498207885
2018,2047,pA9jeOdL_to,GamingMazterResponds,1133.0,Entertainment,127.0,1241,3.92,38,39,20,31.426269137792104,0.1890553221535746
448,460,4ajpZLYOYCw,pman776,1130.0,Comedy,131.0,2186,1.5,62,94,20,43.00091491308326,0.18893451327433627
2365,2394,ltaexF_84FM,MatAlfRoadShow,1110.0,Music,275.0,14264,4.88,33,15,20,1.0515984296130119,0.18889045045045044
1568,1595,4p1DUBc8TwE,iluvjoshb891,1134.0,Entertainment,169.0,214,0.0,0,0,20,0.0,0.18871252204585537
449,461,8GwutAcFX-o,brandonnajera44,1130.0,Comedy,254.0,4823,1.43,103,37,20,7.671573709309558,0.18855814159292034
784,802,Z4A26YUsPgI,op13htv,1135.0,Autos & Vehicles,511.0,214,0.0,0,0,0,0.0,0.18854625550660792
2155,2184,6GKb5a673b8,wwfcanada,1115.0,Nonprofits & Activism,31.0,9981,4.52,25,66,14,6.612563871355576,0.18795156950672645
3067,3097,HgGEwMX_npw,mozcelik,602.0,People & Blogs,507.0,14232,3.54,28,65,20,4.5671725688589095,0.18776119601328903
3188,3218,KcFlTAeAyVQ,aloie,678.0,Sports,5.0,127,0.0,0,0,0,0.0,0.1873156342182891
3518,3552,hMrzaJfj7jQ,kingdomheartsgod,669.0,Film & Animation,237.0,4067,4.49,35,24,0,5.9011556429800835,0.18722922272047834
2045,2074,bIPApMfu0YE,IIIShizzyIII,993.0,Entertainment,9.0,16701,3.76,42,12,20,0.7185198491108317,0.18673873111782477
3564,3598,smDxVwCklsg,JaKeDaBeAsTx,1062.0,Entertainment,336.0,3719,4.36,25,74,0,19.89782199515999,0.18650188323917138
3305,3337,DIyL1upr6zE,fr4jo4,1107.0,Music,270.0,206,0.0,0,0,0,0.0,0.1860885275519422
2436,2466,BrXlGPfX4SQ,StoneSoupStation,930.0,People & Blogs,98.0,173,0.0,0,1,20,5.780346820809248,0.1860215053763441
2794,2824,eaCQ9pgO7Ew,Rapshite,1085.0,Music,215.0,24744,4.57,30,26,14,1.0507597801487227,0.18590552995391707
308,318,p_Je2J3aORA,oKoAo,1088.0,Sports,149.0,15190,4.12,32,40,20,2.6333113890717574,0.18580139705882354
300,310,#NAME?,bethiemw,1028.0,Entertainment,353.0,16961,4.48,33,21,20,1.2381345439537763,0.1853390272373541
3107,3137,7GZC_qeC400,lightningandbottle,874.0,Film & Animation,797.0,8892,4.76,33,18,20,2.0242914979757085,0.18525391304347824
3764,3798,mxp0vfZFazQ,crazyhorsebear,1060.0,Music,58.0,74716,4.5,24,6,20,0.08030408480111355,0.18448679245283017
545,558,8A04oMn6XNE,TRINITYCHGO,1133.0,People & Blogs,336.0,2601,4.87,31,31,20,11.918492887351018,0.1842656751985878
1384,1409,91TtifmJPi8,GabsLaneamyxm,1135.0,News & Politics,124.0,209,0.0,0,1,20,4.784688995215311,0.1841409691629956
1487,1514,x6yvYz2_QvU,aka32,1033.0,Sports,7.0,190,0.0,0,0,20,0.0,0.18393030009680542
2461,2491,bT62qtQl-Yg,AddictedToPhones,1032.0,Science & Technology,331.0,49426,3.9,20,58,14,1.1734714522720835,0.18389341085271318
2906,2936,IArXRkWV5g8,Lotarro,983.0,Howto & Style,417.0,3503,4.39,28,57,20,16.27176705680845,0.18348358087487282
