,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt
1387,-8BwggJEPZQ,IlyasRoma,1135.0,Sports,234.0,4956,5.0,15,24,14
1388,ZF2D5lEEAbM,NicolasBallais,575.0,Film & Animation,124.0,2294,4.27,15,2,20
1389,Whp3b9H3uyY,Planetligue1,1135.0,Sports,127.0,2142,5.0,6,4,20
1390,_r4CjU1vybI,vodeotv,963.0,News & Politics,36.0,53,0.0,0,0,20
1391,67FNk9siBY4,picken85,915.0,Sports,68.0,189,0.0,0,0,20
1392,_fmgR7jUrUs,sportbf,1125.0,Sports,53.0,608,0.0,0,0,20
1393,b2wiKV4SghI,isforyoubaby,1110.0,Film & Animation,262.0,107,0.0,0,0,20
1394,9RpcKJmvI8o,kemoidu92,835.0,People & Blogs,121.0,50,0.0,0,0,20
1395,2rXjXpKeW-0,voiciolymp,787.0,People & Blogs,75.0,96,0.0,0,0,20
1396,Syyxwl-P-74,leclubmed,1135.0,News & Politics,114.0,34,5.0,1,0,20
1399,bKhhy4kLuzw,cdbabyartist,1134.0,Music,301.0,7672,4.93,69,60,8
1400,qcjYh-iUEX4,JayMike14,1134.0,People & Blogs,122.0,3431,5.0,36,14,14
1401,Id8diu7GQsw,wookiielover,1134.0,Music,232.0,9601,4.89,65,61,14
1402,uEBKklWsXb4,DaniiDeanwnsyuv,1135.0,Music,197.0,1229,5.0,5,1,14
1403,Pp4Prf2TuS0,julvett,1134.0,Music,173.0,9094,4.92,76,81,14
1406,oyahqU-yAP0,jrcrazy1,1134.0,Music,123.0,3784,3.87,15,9,20
1407,_b2ZjMFutQM,LQLouie,1135.0,Music,295.0,787,5.0,2,4,20
1408,lg2fCckL5FI,OhMyPadalecki,1134.0,Entertainment,232.0,657,5.0,2,3,20
1409,91TtifmJPi8,GabsLaneamyxm,1135.0,News & Politics,124.0,209,0.0,0,1,20
1410,uaB612ndfZY,RichKid4life33,1135.0,News & Politics,90.0,1065,4.29,7,31,8
1412,4q45Oo5d-H4,KingYayo,1134.0,News & Politics,153.0,3331,2.77,40,34,20
1413,qUL3p0LjMBs,anticorruptos,1130.0,News & Politics,446.0,7996,2.23,22,45,20
1414,T1LjUeLwmrU,HearTalent,1134.0,News & Politics,323.0,1324,5.0,4,15,20
1415,#NAME?,systaime,1135.0,News & Politics,47.0,493,4.5,4,4,20
1416,XHuaN27x8bg,zabbabou,1135.0,News & Politics,69.0,1042,2.29,14,11,20
1417,#NAME?,TomoRiordan2,1134.0,News & Politics,116.0,1006,0.0,0,0,14
1418,L8GdUCqhqiU,memphisthug,1135.0,News & Politics,133.0,248,5.0,3,3,20
1419,ZHjIBe9qLWM,doyleshuler,1134.0,News & Politics,116.0,324,0.0,0,0,20
1420,Kakr-tPUfNo,LuizArbore,1134.0,News & Politics,116.0,209,5.0,1,0,20
1421,O4GzZxcKmFU,RosengrenTV,1134.0,News & Politics,116.0,223,5.0,2,6,8
1422,dUD9aE6BfrE,007soldier,1135.0,News & Politics,116.0,114,5.0,2,3,20
1423,4sb1XXb_9sM,phillipgatlin2000,1134.0,News & Politics,116.0,369,3.0,2,1,14
1424,#NAME?,jackdoodle,1134.0,News & Politics,116.0,1439,4.76,46,69,20
1425,yfxZa6P2DDk,studentloandebtnomor,1135.0,News & Politics,124.0,202,5.0,2,6,20
1426,5lNPV2BO5lk,blacktreemedia,1054.0,Education,484.0,82410,4.7,147,384,20
1427,#NAME?,blacktreemedia,1061.0,Education,428.0,23787,4.79,94,96,20
1428,hm98PVKBxjU,blacktreemedia,1075.0,Education,452.0,16049,4.76,42,131,20
1429,bW-sMWgCiwM,blacktreemedia,1062.0,Education,486.0,21222,4.74,73,159,20
1430,xBI8UhEd89Q,blacktreemedia,1073.0,Education,476.0,15247,4.87,67,83,20
1431,pWnR-6nqvXY,LEEJUNGYOON,1132.0,Music,112.0,4480,3.33,3,11,20
1432,ISjEZdH7hrQ,LEEJUNGYOON,1132.0,Music,27.0,1195,3.67,3,1,8
1433,qbD90sD1df0,davidisbetterthenyou,1131.0,Music,42.0,317,2.0,4,5,20
1434,C4wZf9Y66rM,playserious,1098.0,Entertainment,599.0,1965,5.0,4,1,20
1435,2drgIjrFkto,playserious,1129.0,Entertainment,600.0,407,5.0,1,2,20
1436,UIbyUOfz-9w,ChangeDaChannel,615.0,Entertainment,839.0,52355,3.88,41,29,0
1437,R4Goq515baY,MoTv1,1125.0,People & Blogs,322.0,1172,4.5,12,7,20
1438,kQCsJbuG7mo,tomorrowpictures,615.0,Music,362.0,11984,3.9,10,8,20
1439,xXcRLn0UwBo,DraMaWolf,941.0,Music,266.0,505,5.0,5,3,0
1440,7McDe1sdPlU,RemixedKingz,1022.0,Music,157.0,1537,5.0,4,3,0
1441,_Le9DB9NXzU,SomoshiphopRadio,918.0,Music,609.0,2507,5.0,1,1,20
1442,nYLfl22YSLw,evolawonder,681.0,Music,321.0,3256,3.89,9,18,0
1443,PCMd-YfS7zM,blink182fiend,1075.0,Music,240.0,214,5.0,1,0,20
1444,or3VgNAsdcE,bestduvalhiphop,994.0,Music,249.0,2638,4.22,9,2,20
1445,E1sfO3ykLiw,vexdavortex,1103.0,Music,71.0,240,5.0,1,0,20
1446,zH1kHn8sWOM,politikewl,1134.0,Education,186.0,10975,4.45,62,76,14
1447,1mzsBjK3hAg,Sunshinestate63,1134.0,Comedy,200.0,1407,4.33,3,1,20
1448,pTYL8qpcsjk,Lutulutuw,1134.0,News & Politics,213.0,3068,4.67,12,17,20
1449,HZeMFbxeDnY,Klingonmastr,1135.0,News & Politics,158.0,837,3.12,8,7,20
1450,kptmiklh97Y,MIAcrimsonandgold,1135.0,News & Politics,274.0,682,3.67,3,2,20
1451,3B2-ELpor3Y,LisabethDashrniqhc,1134.0,News & Politics,208.0,1823,3.0,4,14,20
1452,g67sKrkVihc,davidisbetterthenyou,1135.0,News & Politics,39.0,175,1.0,1,0,20
1453,7kUA2KW_9_s,Mediacurves,1136.0,News & Politics,180.0,250,2.0,4,0,20
1454,Zb5hMAkplu0,puebloplug,1135.0,News & Politics,24.0,73,3.67,3,2,20
1455,S097lGx9yqc,arroncarlton,1134.0,Entertainment,186.0,1685,3.6,15,24,14
1456,kAIVw2iTMdQ,memphisthug,1135.0,News & Politics,199.0,43,0.0,0,0,14
1457,DrD-Yp3a-dY,shorenzi,1128.0,Music,57.0,32937,4.92,75,142,14
1458,YwVBpsO51QY,vrmgi,1134.0,News & Politics,186.0,40800,4.03,392,574,20
1459,0H3AKlogj44,shezzno,1135.0,News & Politics,63.0,43,1.33,3,4,20
1460,i8APu1MN4PI,azzatacom,1135.0,News & Politics,186.0,105,2.0,2,0,20
1461,mlQZXJnZDZs,bonequinha01,1134.0,News & Politics,200.0,4632,4.0,22,23,20
1462,xdHMOsihnv8,reece2076,1134.0,News & Politics,186.0,305,3.57,14,6,20
