,VID_ID,UPLOADER,INT_AFT_EST(m),CATEGORY,LENGTH(m),NO_OF_VIEWS,RATINGS(/5),NO_OF_RATS,NO_OF_COMS,REL_VID_ID,POPULARITY
2547,rZBA0SKmQy8,TownIdiot25,848.0,Comedy,130.0,11007201.0,4.83,75004.0,30666.0,"['rZBA0SKmQy8', 'TownIdiot25', 848.0, 'Comedy', 130.0, 11007201.0, 4.83, 75004.0, 30666.0, 'YXZjh0Cejvc', 'wcAq9mOUx8s', '_mdMb6bRXt4', 'EnLI5UcNu5s', 'wrqiIjLGnCI', '4xPOXSfPQGE', 'EtOoQFa5ug8', '02tVq5OKVkQ', 'WGooQ8yYC0c', 'q6jqbx7t64A', 'DpJyG7B6tAI', 'jkyhqE_VOEE', 'kDIm7zyXRKM', '_1nzEFMjkI4', nan, nan, nan, nan, nan, nan]",43646.18992288713
2920,HPPj6viIBmU,raze7ds,334.0,Entertainment,108.0,5565385.0,4.24,13314.0,22567.0,"['HPPj6viIBmU', 'raze7ds', 334.0, 'Entertainment', 108.0, 5565385.0, 4.24, 13314.0, 22567.0, '3GJOVPjhXMY', 'O61Do03ZCjw', 'GRiJVMASwjI', 'leEsz9ci5XE', 'YvEibGgp-GA', '2URImmLYAsQ', 'V0Y5sTchMYs', 'M2Ize9piRWw', '9gvqpFbRKtQ', '_T4oX5vrnZI', 'SEM3a7znNE8', 'j6sUnzKinmQ', 'UEO_PAeRFfc', 'mNbLCA4WHCk', nan, nan, nan, nan, nan, nan]",39229.829659779134
34,eBGIQ7ZuuiU,YouGotRickRolled,832.0,Comedy,210.0,8119804.0,4.64,23256.0,29160.0,"['eBGIQ7ZuuiU', 'YouGotRickRolled', 832.0, 'Comedy', 210.0, 8119804.0, 4.64, 23256.0, 29160.0, 'oHg5SJYRHA0', 'ZOU8GIRUd_g', 'yBOPCOkZUVM', 'onrzgB_-0sM', 'y3FFnpS-eYA', 'eqQRN5OWgBw', '_0719DxMOUY', 'b1WWpKEPdT4', '3HrSN7176XI', 'kDIm7zyXRKM', 'PIMrL4qXtJ0', 'f2b1D5w82yU', 'EwTZ2xpQwpA', 'NIyWxCTWQoM', nan, nan, nan, nan, nan, nan]",38919.38000721071
3876,Md6rURKhZmA,TPainVideos,857.0,Music,240.0,18141492.0,4.83,34802.0,17731.0,"['Md6rURKhZmA', 'TPainVideos', 857.0, 'Music', 240.0, 18141492.0, 4.83, 34802.0, 17731.0, 'Oy-nqyfR_w4', '4DC4Rb9quKk', 'Pxs5EM3xlus', 'Dn_1ZWo0GNw', '4fZF9UsS8LY', '8hvEsCUj0xQ', 'A2f3cuUXXRs', 'D9g2szHsoz0', 'IG5ReXP0SSg', 'ichSb-1HSiY', '7PxBGHjABnU', 'HS7aULdHo24', 'veYbj2zypaM', '5f7kfhHHH_A', 'HiBcQeIax4g', 'veEM1W9mPUY', 'kzYERFmGURg', nan, nan, nan]",38899.60223913519
3233,6IIGFIvkeIY,slickvixx,0.0, UNA ,247.0,38867.0,4.75,174.0,69.0,"['6IIGFIvkeIY', 'slickvixx', 0.0, ' UNA ', 247.0, 38867.0, 4.75, 174.0, 69.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",38867.0
3800,68WMHLwiUeA,saracamzz,0.0, UNA ,60.0,36869.0,4.67,33.0,23.0,"['68WMHLwiUeA', 'saracamzz', 0.0, ' UNA ', 60.0, 36869.0, 4.67, 33.0, 23.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",36869.0
870,GfPJeDssBOM,HouseholdHacker,998.0,Howto & Style,205.0,6101232.0,4.47,22030.0,29786.0,"['GfPJeDssBOM', 'HouseholdHacker', 998.0, 'Howto & Style', 205.0, 6101232.0, 4.47, 22030.0, 29786.0, '8m8fbnShPcw', '0rA-zhTJuFU', 'l8eH3TJkny0', 'MpjvCzuzgvs', 'tvGVir25EJc', '3IYoxyKJhHM', 'B8H29jU8Wrs', 'z3U0udLH974', 'BfGSeD_fumQ', '#NAME?', 'TlPoyX1umaA', 'qmRv9FLDBmE', 'F_nw_mQF6RE', 'WlQXCICVB9A', '-3ulgATwtzY', 'w0v91MIepB0', 'Wj1Ljpr2HpI', 'FrGHuVvj9Q4', '2KtFVlUaMRA', '2xvrnzJYq30']",35899.4591207408
474,UW_1CvDFYVg,mileymandy,1124.0,Comedy,135.0,721641.0,4.11,5776.0,33543.0,"['UW_1CvDFYVg', 'mileymandy', 1124.0, 'Comedy', 135.0, 721641.0, 4.11, 5776.0, 33543.0, '2h_K6rMaXxI', 'tfRxcNZ3rMw', 'yzDeIOQhJnw', 'ig8CEdEDz88', 'lQtSfbJiqqE', '1h6QJkNhuOI', 'jWUVtoamdOY', 'OhGEO9XDmis', 'h_rS2vRfZio', '2fzX92p2czw', '1NPFWILwT6M', 'DRtWcVJckvw', 'j53GNUY-9QI', 'bO9wKrlAfP8', nan, nan, nan, nan, nan, nan]",34185.0300709957
672,TOfuaP3wSvA,Hyattiee,0.0, UNA ,100.0,33772.0,4.76,83.0,27.0,"['TOfuaP3wSvA', 'Hyattiee', 0.0, ' UNA ', 100.0, 33772.0, 4.76, 83.0, 27.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",33772.0
2913,O61Do03ZCjw,hidekatsu,284.0,Music,62.0,7553998.0,4.69,16334.0,5932.0,"['O61Do03ZCjw', 'hidekatsu', 284.0, 'Music', 62.0, 7553998.0, 4.69, 16334.0, 5932.0, 'V0t7MbeKVH8', 'yH8b5ruc_-E', 'leEsz9ci5XE', 'LAyF9GisNqo', 'egPgU5kAjKE', 'HPPj6viIBmU', '55zkzF8Tdvg', 'V0Y5sTchMYs', 'jF-kELmmvgA', '9gvqpFbRKtQ', '0o_J5QzQs3g', '9RlJkSDLdJ8', '0Q8DriPCX2o', 'ATBl4qH9I54', nan, nan, nan, nan, nan, nan]",32530.584794173392
1159,pFlcqWQVVuU,raw64life,404.0,Entertainment,66.0,6618744.0,4.73,17739.0,14274.0,"['pFlcqWQVVuU', 'raw64life', 404.0, 'Entertainment', 66.0, 6618744.0, 4.73, 17739.0, 14274.0, 'DpJyG7B6tAI', 'XvDKx7ltor8', 'nBEyFeMV2_c', '7zSRLHh521o', 'y9KneYibNco', '1UaJWzw79GI', 'a8q-elxC6gU', 'gC_e52pkJGY', 'J9GmpVh1zFQ', '5zkiLWi0BmM', 'a7WmMqT2c3U', '1PSvWR4dZKc', 'NAhR1N5oJNA', 'WfKxpmnAFRw', 'isWoLyG5dpY', '2m5NB8Qx04Q', 'utjhfcgKi18', 'HPPj6viIBmU', 'rmgf60CI_ks', 'PXo7vRS4XNg']",30657.029969614414
538,LTxO_pgMqys,machinima,969.0,Entertainment,407.0,3731016.0,4.82,35352.0,26192.0,"['LTxO_pgMqys', 'machinima', 969.0, 'Entertainment', 407.0, 3731016.0, 4.82, 35352.0, 26192.0, '0RWQ7R555i4', 'Jz3br1q5wIQ', '3IWY5MIlhiY', 'fV8vVmtmVxU', 'kvanJYOGlus', 'OJWBmuioqJU', 'kb8rdc-0OpQ', 'ym0BtwmCvoc', '2pNTrYd-4FQ', 'uCsdPszJLNQ', 'ncGCKsVIjuE', 'A7LQ7i7tzRE', 'jfx8kcS0KiU', 'zwp3HEwA1oM', '9Vi45QBGsWE', 'BzgXGACAU20', 'F_tI1l7Gk5Q', 'Fz2_NkyTv8E', 'R4W5DjIOInQ', 'ZOkF0McZKIw']",30042.377845321393
3886,A2f3cuUXXRs,RKellyTV,751.0,Music,326.0,13038204.0,4.8,18910.0,11315.0,"['A2f3cuUXXRs', 'RKellyTV', 751.0, 'Music', 326.0, 13038204.0, 4.8, 18910.0, 11315.0, 'Md6rURKhZmA', 'nU8fcEma1Z4', 'Pxs5EM3xlus', 'Oy-nqyfR_w4', '4DC4Rb9quKk', 'kEUtFmx6ETE', '#NAME?', 'veYbj2zypaM', '8hvEsCUj0xQ', 'EJWfQ6ISA4o', 'ZLTgw5hbges', 'gXmG07kMMmU', 'y0_G0m5W1nY', 'yhTQ-hC9-IQ', 'Ywlm-LPftOY', '06dx3M0m0HM', 'cdaAWFoWr2c', '7PxBGHjABnU', 'WDxr-eakI6U', nan]",28676.124088720768
1049,yGMKgLRU-3c,itschriscrocker,1120.0,Entertainment,116.0,1248802.0,3.33,12827.0,25155.0,"['yGMKgLRU-3c', 'itschriscrocker', 1120.0, 'Entertainment', 116.0, 1248802.0, 3.33, 12827.0, 25155.0, 'Rp198k984Yw', 'edLR8fj6roo', 'AhHqU2c7onM', 'qJOBWbxlH4E', 'xXiouCrEnG0', 'zbr1EiIC2Ro', 'kF75wuWlZSs', 'kHmvkRoEowc', 'Mqdxi98YIoQ', 'Yd1Oe1LELcc', 'dzVWxoLFGgI', 'SdGF93l8ZEc', 'yllEL-IQ4GY', 'h863nXDqCM0', 'Hh3eHxtIGxw', '6KxZQCrCHBM', 'xMv9Z4-yDLo', 'SrMwnpkSvtQ', 'q-Lovt_kmXM', '4GE0fY0HEY8']",26270.002045322923
2997,Ugrlzm7fySE,mcburger,467.0,Sports,77.0,5360384.0,4.43,13898.0,14602.0,"['Ugrlzm7fySE', 'mcburger', 467.0, 'Sports', 77.0, 5360384.0, 4.43, 13898.0, 14602.0, 'QpjhjT2d_Wk', 'NIKdK-T-jZM', '_wirFSGHL7Q', 'tth9krDtxII', 'yLwan3JdLWQ', 'da1Gh4kH-o8', 'm0T9ZBKE22Y', 'q3idQKi5EqM', 'LxZCbbKwe_o', 'X_XkBv_zt1w', 'eejQPUyeNiY', 'DDfZdfeJ1nc', '1paiHmm6fUM', '_pdaFXbhl8Q', nan, nan, nan, nan, nan, nan]",26080.338648515353
2256,2x2W12A8Qow,TayZonday,1016.0,Music,172.0,3499428.0,4.27,16653.0,21323.0,"['2x2W12A8Qow', 'TayZonday', 1016.0, 'Music', 172.0, 3499428.0, 4.27, 16653.0, 21323.0, 'EwTZ2xpQwpA', '9mSKBgvHdoE', 'P6dUCOS1bM0', 'aWY3eYOX3U0', 'hjD6iigdB-g', 'NattlyH0IeM', 'xUz2YMmiq0k', 'mD5_GUovjiM', 'nTQOpibv_OA', 'deXAEN70CDY', 'caIBKOztlAo', '1oFS-q8BIps', 'z3aA1Hy17A8', 'RSCzMT8IMME', 'JPu4uErBFks', 'pgSA-ErKd8c', 'QQjGkUr-KKI', '0pElTyjfxe0', 'c6NgLs0zIa4', 'N0amCfgnwY8']",24767.31915404805
2670,YCj-RyKCmHQ,migmig33,458.0,Music,179.0,8892789.0,4.61,10511.0,5288.0,"['YCj-RyKCmHQ', 'migmig33', 458.0, 'Music', 179.0, 8892789.0, 4.61, 10511.0, 5288.0, 'XkHm8uUuT0o', 'i99OFLyaw4c', 'xXrnKGSShMk', 'BmusGE3fTac', 'be2AUvIZLtE', 'MJgsk-pF2JA', 'Ydmjzc20esI', 'sogKUx_q7ig', 'BgoOihBb78w', 'YUf3SWulR-I', 'BV0JzMl3gl8', 'xdCrZfTkG1c', 'ohg1HjXL95o', 'G7qmJc0lk9o', nan, nan, nan, nan, nan, nan]",24704.57030758378
4063,ZCYaw5tGYAs,nozzle49,529.0,Comedy,80.0,8944331.0,4.86,16551.0,6938.0,"['ZCYaw5tGYAs', 'nozzle49', 529.0, 'Comedy', 80.0, 8944331.0, 4.86, 16551.0, 6938.0, '58CZcCvwND4', '3ERSFuSm4rY', 'riT6ku1DoJI', 'CQzUsTFqtW0', 'UKP67b5dh84', '7tRWRSfcDuQ', 'CoiFGva_JoY', '8NvZTOWrpNQ', 'n9nvFmfDUTs', 'wKMnausIyzM', 'uxZabf3u89s', 'LEEI2LlLyyw', 'FzRH3iTQPrk', 'kdeVpw9rNyg', '_xDghiPswLM', 'gW-r-2VAkK8', '7UHKB6nQrzM', 'FiNUkDnDMFA', 'Hdy_5kx5p24', 'nojWJ6-XmeQ']",23845.998403278678
